,Breach Type Description_Both,Breach Type Description_Electronic,Breach Type Description_Paper,Breach Type Description_Undefined,Date Reported To OCA,Organization Name,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen,Keywords,Organization Categories
7797,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7798,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7799,0.0,0.0,1.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7800,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7801,0.0,0.0,0.0,1.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7802,0.0,0.0,0.0,1.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7803,0.0,0.0,1.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7804,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7805,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7806,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
